"origin","destination","distance","time"
"52.4200898687858, 13.176303161968","52.49694, 13.4540533",28784,3670
"52.4200898687858, 13.176303161968","52.4840199, 13.4053429",19768,3483
"52.4200898687858, 13.176303161968","52.5049039, 13.4431471",26152,3259
"52.4200898687858, 13.176303161968","52.524042, 13.402083",21764,2399
"52.4200898687858, 13.176303161968","52.5071871, 13.390676",22101,2505
"52.4200898687858, 13.176303161968","52.4583565, 13.2889441",11580,2279
"52.4200898687858, 13.176303161968","52.5112074, 13.4169157",23634,2610
"52.4200898687858, 13.176303161968","52.440493, 13.3911183",19296,3364
"52.4051070001368, 13.134430863293","52.5075075, 13.3903737",24080,4073
"52.4051070001368, 13.134430863293","52.5542753, 13.3785425",31432,4463
"52.4051070001368, 13.134430863293","52.5063, 13.3840159",23559,3723
"52.4051070001368, 13.134430863293","52.5206458, 13.2932877",22516,4105
"52.4051070001368, 13.134430863293","52.5239216, 13.3888786",25291,3444
"52.4051070001368, 13.134430863293","52.5168416, 13.3816742",24996,3692
"52.4051070001368, 13.134430863293","52.5040556, 13.3379413",20524,3043
"52.4051070001368, 13.134430863293","52.5090125, 13.3792937",24115,3692
"52.4051070001368, 13.134430863293","52.4983661, 13.3605076",22610,3764
"52.4051070001368, 13.134430863293","52.5478117, 13.3892456",27109,4216
"52.4051070001368, 13.134430863293","52.5046782, 13.4490212",33480,4732
"52.4051070001368, 13.134430863293","52.5136642, 13.4727613",32942,4383
"52.4051070001368, 13.134430863293","52.5016098, 13.381181",23258,3482
"52.4051070001368, 13.134430863293","52.5214137, 13.4034811",29499,4206
"52.4051070001368, 13.134430863293","52.5176913, 13.4419715",29214,4554
"52.4051070001368, 13.134430863293","52.517699, 13.3970326",25732,3794
"52.4051070001368, 13.134430863293","52.5303108, 13.3186121",26965,4567
"52.4051070001368, 13.134430863293","52.5146378, 13.3905283",25523,3648
"52.4051070001368, 13.134430863293","52.5145186, 13.487322",32468,5195
"52.4051070001368, 13.134430863293","52.5170316, 13.4012274",28106,3930
"52.4051070001368, 13.134430863293","52.5207714, 13.3889021",24964,3177
"52.4051070001368, 13.134430863293","52.5027268, 13.4453492",33880,5066
"52.4051070001368, 13.134430863293","52.5284267, 13.3720175",23909,3282
"52.4051070001368, 13.134430863293","52.5209131, 13.3871461",24871,3099
"52.4051070001368, 13.134430863293","52.5304903, 13.3791152",26600,3877
"52.4051070001368, 13.134430863293","52.4864896, 13.4217418",31480,4489
"52.4051070001368, 13.134430863293","52.5215057, 13.4069139",26864,3510
"52.4051070001368, 13.134430863293","52.5174377, 13.3898033",25241,3397
"52.4051070001368, 13.134430863293","52.5111669, 13.4430356",29690,4279
