"origin","destination","distance","time"
"52.5202260457446, 13.3993255738889","52.5112074, 13.4169157",2639,936
"52.5202260457446, 13.3993255738889","52.440493, 13.3911183",10322,2133
"52.5185424002137, 13.4121501090906","52.5075075, 13.3903737",2776,1063
"52.5185424002137, 13.4121501090906","52.5542753, 13.3785425",5299,1435
"52.5185424002137, 13.4121501090906","52.5063, 13.3840159",4095,1504
"52.5185424002137, 13.4121501090906","52.5206458, 13.2932877",11317,2544
"52.5185424002137, 13.4121501090906","52.5239216, 13.3888786",2892,1235
"52.5185424002137, 13.4121501090906","52.5168416, 13.3816742",2958,945
"52.5185424002137, 13.4121501090906","52.5040556, 13.3379413",7168,1640
"52.5185424002137, 13.4121501090906","52.5090125, 13.3792937",3312,871
"52.5185424002137, 13.4121501090906","52.4983661, 13.3605076",5475,1239
"52.5185424002137, 13.4121501090906","52.5478117, 13.3892456",4389,1115
"52.5185424002137, 13.4121501090906","52.5046782, 13.4490212",4251,1206
"52.5185424002137, 13.4121501090906","52.5136642, 13.4727613",5094,1169
"52.5185424002137, 13.4121501090906","52.5016098, 13.381181",4369,1290
"52.5185424002137, 13.4121501090906","52.5214137, 13.4034811",1806,892
"52.5185424002137, 13.4121501090906","52.5176913, 13.4419715",3016,959
"52.5185424002137, 13.4121501090906","52.517699, 13.3970326",1815,831
"52.5185424002137, 13.4121501090906","52.5303108, 13.3186121",11438,2511
"52.5185424002137, 13.4121501090906","52.5146378, 13.3905283",2678,901
"52.5185424002137, 13.4121501090906","52.5145186, 13.487322",6270,1600
"52.5185424002137, 13.4121501090906","52.5170316, 13.4012274",1646,1008
"52.5185424002137, 13.4121501090906","52.5207714, 13.3889021",2597,1004
"52.5185424002137, 13.4121501090906","52.5027268, 13.4453492",3823,1237
"52.5185424002137, 13.4121501090906","52.5284267, 13.3720175",4395,1467
"52.5185424002137, 13.4121501090906","52.5209131, 13.3871461",2521,925
"52.5185424002137, 13.4121501090906","52.5304903, 13.3791152",3805,1529
"52.5185424002137, 13.4121501090906","52.4864896, 13.4217418",5350,1311
"52.5185424002137, 13.4121501090906","52.5215057, 13.4069139",1309,753
"52.5185424002137, 13.4121501090906","52.5174377, 13.3898033",2962,1166
"52.5185424002137, 13.4121501090906","52.5111669, 13.4430356",4906,1741
"52.5185424002137, 13.4121501090906","52.5076615, 13.454537",4596,1476
"52.5185424002137, 13.4121501090906","52.5121441, 13.3083771",9536,1734
"52.5185424002137, 13.4121501090906","52.5087884, 13.378434",3268,829
"52.5185424002137, 13.4121501090906","52.5019061, 13.3308361",8181,1925
"52.5185424002137, 13.4121501090906","52.5088651, 13.2707514",12244,2224
"52.5185424002137, 13.4121501090906","52.5264743, 13.39691",2644,1346
"52.5185424002137, 13.4121501090906","52.5106807, 13.419484",1524,885
"52.5185424002137, 13.4121501090906","52.4602228, 13.5056519",10363,2906
"52.5185424002137, 13.4121501090906","52.474199, 13.141735",27275,5435
"52.5185424002137, 13.4121501090906","52.5021802, 13.364582",5863,1552
"52.5185424002137, 13.4121501090906","52.5205791, 13.4089041",1232,666
"52.5185424002137, 13.4121501090906","52.4986678, 13.3566505",6290,1432
"52.5185424002137, 13.4121501090906","52.520848, 13.4084747",1235,668
"52.5185424002137, 13.4121501090906","52.49694, 13.4540533",4519,2002
"52.5185424002137, 13.4121501090906","52.4840199, 13.4053429",6061,2458
"52.5185424002137, 13.4121501090906","52.5049039, 13.4431471",3307,1161
"52.5185424002137, 13.4121501090906","52.524042, 13.402083",1587,899
"52.5185424002137, 13.4121501090906","52.5071871, 13.390676",2808,1088
"52.5185424002137, 13.4121501090906","52.4583565, 13.2889441",15236,3587
"52.5185424002137, 13.4121501090906","52.5112074, 13.4169157",1313,709
"52.5185424002137, 13.4121501090906","52.440493, 13.3911183",10757,2232
"52.5329535654374, 13.4059728853842","52.5075075, 13.3903737",5865,1714
"52.5329535654374, 13.4059728853842","52.5542753, 13.3785425",3879,1204
"52.5329535654374, 13.4059728853842","52.5063, 13.3840159",10080,2270
"52.5329535654374, 13.4059728853842","52.5206458, 13.2932877",12623,2466
"52.5329535654374, 13.4059728853842","52.5239216, 13.3888786",1975,924
"52.5329535654374, 13.4059728853842","52.5168416, 13.3816742",3855,1487
"52.5329535654374, 13.4059728853842","52.5040556, 13.3379413",8662,2176
"52.5329535654374, 13.4059728853842","52.5090125, 13.3792937",5892,1657
"52.5329535654374, 13.4059728853842","52.4983661, 13.3605076",8055,2025
"52.5329535654374, 13.4059728853842","52.5478117, 13.3892456",2968,884
"52.5329535654374, 13.4059728853842","52.5046782, 13.4490212",6053,1651
"52.5329535654374, 13.4059728853842","52.5136642, 13.4727613",6645,1745
"52.5329535654374, 13.4059728853842","52.5016098, 13.381181",5644,1787
"52.5329535654374, 13.4059728853842","52.5214137, 13.4034811",1970,780
"52.5329535654374, 13.4059728853842","52.5176913, 13.4419715",4681,1754
"52.5329535654374, 13.4059728853842","52.517699, 13.3970326",3359,1497
"52.5329535654374, 13.4059728853842","52.5303108, 13.3186121",9423,2461
"52.5329535654374, 13.4059728853842","52.5146378, 13.3905283",5258,1687
"52.5329535654374, 13.4059728853842","52.5145186, 13.487322",7821,2176
"52.5329535654374, 13.4059728853842","52.5170316, 13.4012274",2556,1278
"52.5329535654374, 13.4059728853842","52.5207714, 13.3889021",3065,1167
"52.5329535654374, 13.4059728853842","52.5027268, 13.4453492",6453,1985
"52.5329535654374, 13.4059728853842","52.5284267, 13.3720175",3016,1182
"52.5329535654374, 13.4059728853842","52.5209131, 13.3871461",2989,1088
"52.5329535654374, 13.4059728853842","52.5304903, 13.3791152",2059,941
"52.5329535654374, 13.4059728853842","52.4864896, 13.4217418",6797,1470
"52.5329535654374, 13.4059728853842","52.5215057, 13.4069139",2194,961
"52.5329535654374, 13.4059728853842","52.5174377, 13.3898033",3383,1415
"52.5329535654374, 13.4059728853842","52.5111669, 13.4430356",6708,2186
"52.5329535654374, 13.4059728853842","52.5076615, 13.454537",6398,1921
"52.5329535654374, 13.4059728853842","52.5121441, 13.3083771",12116,2520
"52.5329535654374, 13.4059728853842","52.5087884, 13.378434",5848,1615
"52.5329535654374, 13.4059728853842","52.5019061, 13.3308361",8593,2114
"52.5329535654374, 13.4059728853842","52.5088651, 13.2707514",14824,3010
"52.5329535654374, 13.4059728853842","52.5264743, 13.39691",2395,1126
"52.5329535654374, 13.4059728853842","52.5106807, 13.419484",3607,1070
"52.5329535654374, 13.4059728853842","52.4602228, 13.5056519",12427,3227
"52.5329535654374, 13.4059728853842","52.474199, 13.141735",28198,4916
"52.5329535654374, 13.4059728853842","52.5021802, 13.364582",8443,2338
"52.5329535654374, 13.4059728853842","52.5205791, 13.4089041",2302,1075
"52.5329535654374, 13.4059728853842","52.4986678, 13.3566505",8870,2218
"52.5329535654374, 13.4059728853842","52.520848, 13.4084747",2299,1073
"52.5329535654374, 13.4059728853842","52.49694, 13.4540533",6583,2323
"52.5329535654374, 13.4059728853842","52.4840199, 13.4053429",9894,2568
"52.5329535654374, 13.4059728853842","52.5049039, 13.4431471",6465,1982
"52.5329535654374, 13.4059728853842","52.524042, 13.402083",1688,555
"52.5329535654374, 13.4059728853842","52.5071871, 13.390676",5827,1686
"52.5329535654374, 13.4059728853842","52.4583565, 13.2889441",21609,3696
"52.5329535654374, 13.4059728853842","52.5112074, 13.4169157",3442,930
"52.5329535654374, 13.4059728853842","52.440493, 13.3911183",13438,2934
"52.5312697978691, 13.4187999953172","52.5075075, 13.3903737",4171,1693
"52.5312697978691, 13.4187999953172","52.5542753, 13.3785425",6264,2109
"52.5312697978691, 13.4187999953172","52.5063, 13.3840159",6712,2289
"52.5312697978691, 13.4187999953172","52.5206458, 13.2932877",14188,3011
"52.5312697978691, 13.4187999953172","52.5239216, 13.3888786",2831,1352
"52.5312697978691, 13.4187999953172","52.5168416, 13.3816742",3390,1678
"52.5312697978691, 13.4187999953172","52.5040556, 13.3379413",9041,2273
"52.5312697978691, 13.4187999953172","52.5090125, 13.3792937",5929,1656
"52.5312697978691, 13.4187999953172","52.4983661, 13.3605076",8092,2024
"52.5312697978691, 13.4187999953172","52.5478117, 13.3892456",5354,1789
"52.5312697978691, 13.4187999953172","52.5046782, 13.4490212",5098,1448
"52.5312697978691, 13.4187999953172","52.5136642, 13.4727613",6129,1810
"52.5312697978691, 13.4187999953172","52.5016098, 13.381181",6986,2075
"52.5312697978691, 13.4187999953172","52.5214137, 13.4034811",1829,945
"52.5312697978691, 13.4187999953172","52.5176913, 13.4419715",4051,1600
"52.5312697978691, 13.4187999953172","52.517699, 13.3970326",2837,1562
"52.5312697978691, 13.4187999953172","52.5303108, 13.3186121",10028,2807
"52.5312697978691, 13.4187999953172","52.5146378, 13.3905283",3611,1492
"52.5312697978691, 13.4187999953172","52.5145186, 13.487322",7305,2241
"52.5312697978691, 13.4187999953172","52.5170316, 13.4012274",2610,1242
"52.5312697978691, 13.4187999953172","52.5207714, 13.3889021",3444,1264
"52.5312697978691, 13.4187999953172","52.5027268, 13.4453492",5498,1782
"52.5312697978691, 13.4187999953172","52.5284267, 13.3720175",3769,1606
"52.5312697978691, 13.4187999953172","52.5209131, 13.3871461",3368,1185
"52.5312697978691, 13.4187999953172","52.5304903, 13.3791152",3632,1422
"52.5312697978691, 13.4187999953172","52.4864896, 13.4217418",6313,2135
"52.5312697978691, 13.4187999953172","52.5215057, 13.4069139",1451,642
"52.5312697978691, 13.4187999953172","52.5174377, 13.3898033",3407,1614
"52.5312697978691, 13.4187999953172","52.5111669, 13.4430356",5753,1983
"52.5312697978691, 13.4187999953172","52.5076615, 13.454537",5443,1718
"52.5312697978691, 13.4187999953172","52.5121441, 13.3083771",12153,2519
"52.5312697978691, 13.4187999953172","52.5087884, 13.378434",5885,1614
"52.5312697978691, 13.4187999953172","52.5019061, 13.3308361",8972,2211
"52.5312697978691, 13.4187999953172","52.5088651, 13.2707514",14861,3009
"52.5312697978691, 13.4187999953172","52.5264743, 13.39691",3079,1677
"52.5312697978691, 13.4187999953172","52.5106807, 13.419484",3123,1735
"52.5312697978691, 13.4187999953172","52.4602228, 13.5056519",14641,3288
"52.5312697978691, 13.4187999953172","52.474199, 13.141735",32147,5821
"52.5312697978691, 13.4187999953172","52.5021802, 13.364582",8480,2337
"52.5312697978691, 13.4187999953172","52.5205791, 13.4089041",1465,633
"52.5312697978691, 13.4187999953172","52.4986678, 13.3566505",8907,2217
"52.5312697978691, 13.4187999953172","52.520848, 13.4084747",1468,635
"52.5312697978691, 13.4187999953172","52.49694, 13.4540533",10210,2475
"52.5312697978691, 13.4187999953172","52.4840199, 13.4053429",9410,3233
"52.5312697978691, 13.4187999953172","52.5049039, 13.4431471",5510,1779
"52.5312697978691, 13.4187999953172","52.524042, 13.402083",1864,963
"52.5312697978691, 13.4187999953172","52.5071871, 13.390676",4204,1718
"52.5312697978691, 13.4187999953172","52.4583565, 13.2889441",16147,3476
"52.5312697978691, 13.4187999953172","52.5112074, 13.4169157",3025,1321
"52.5312697978691, 13.4187999953172","52.440493, 13.3911183",12776,2918
"52.5274314191851, 13.3962359532041","52.5075075, 13.3903737",3222,1146
"52.5274314191851, 13.3962359532041","52.5542753, 13.3785425",4638,1393
"52.5274314191851, 13.3962359532041","52.5063, 13.3840159",4141,1223
"52.5274314191851, 13.3962359532041","52.5206458, 13.2932877",12847,2478
"52.5274314191851, 13.3962359532041","52.5239216, 13.3888786",778,628
"52.5274314191851, 13.3962359532041","52.5168416, 13.3816742",2050,682
"52.5274314191851, 13.3962359532041","52.5040556, 13.3379413",7606,2094
"52.5274314191851, 13.3962359532041","52.5090125, 13.3792937",3098,922
"52.5274314191851, 13.3962359532041","52.4983661, 13.3605076",5014,1824
"52.5274314191851, 13.3962359532041","52.5478117, 13.3892456",4123,912
"52.5274314191851, 13.3962359532041","52.5046782, 13.4490212",5148,1413
"52.5274314191851, 13.3962359532041","52.5136642, 13.4727613",6057,1754
"52.5274314191851, 13.3962359532041","52.5016098, 13.381181",3839,982
"52.5274314191851, 13.3962359532041","52.5214137, 13.4034811",1425,649
"52.5274314191851, 13.3962359532041","52.5176913, 13.4419715",3979,1544
"52.5274314191851, 13.3962359532041","52.517699, 13.3970326",2182,1175
"52.5274314191851, 13.3962359532041","52.5303108, 13.3186121",9438,2295
"52.5274314191851, 13.3962359532041","52.5146378, 13.3905283",2165,1050
"52.5274314191851, 13.3962359532041","52.5145186, 13.487322",7233,2185
"52.5274314191851, 13.3962359532041","52.5170316, 13.4012274",2064,1104
"52.5274314191851, 13.3962359532041","52.5207714, 13.3889021",1431,620
"52.5274314191851, 13.3962359532041","52.5027268, 13.4453492",5548,1747
"52.5274314191851, 13.3962359532041","52.5284267, 13.3720175",2730,1233
"52.5274314191851, 13.3962359532041","52.5209131, 13.3871461",1290,497
"52.5274314191851, 13.3962359532041","52.5304903, 13.3791152",1773,992
"52.5274314191851, 13.3962359532041","52.4864896, 13.4217418",6209,1479
"52.5274314191851, 13.3962359532041","52.5215057, 13.4069139",1806,873
"52.5274314191851, 13.3962359532041","52.5174377, 13.3898033",1740,874
"52.5274314191851, 13.3962359532041","52.5111669, 13.4430356",5803,1948
"52.5274314191851, 13.3962359532041","52.5076615, 13.454537",5493,1683
"52.5274314191851, 13.3962359532041","52.5121441, 13.3083771",8604,1908
"52.5274314191851, 13.3962359532041","52.5087884, 13.378434",3090,890
"52.5274314191851, 13.3962359532041","52.5019061, 13.3308361",6964,1699
"52.5274314191851, 13.3962359532041","52.5088651, 13.2707514",11312,2398
"52.5274314191851, 13.3962359532041","52.5264743, 13.39691",715,578
"52.5274314191851, 13.3962359532041","52.5106807, 13.419484",3019,1079
"52.5274314191851, 13.3962359532041","52.4602228, 13.5056519",11839,3236
"52.5274314191851, 13.3962359532041","52.474199, 13.141735",29049,5219
"52.5274314191851, 13.3962359532041","52.5021802, 13.364582",4252,1608
"52.5274314191851, 13.3962359532041","52.5205791, 13.4089041",1749,960
"52.5274314191851, 13.3962359532041","52.4986678, 13.3566505",5247,1996
"52.5274314191851, 13.3962359532041","52.520848, 13.4084747",1752,962
"52.5274314191851, 13.3962359532041","52.49694, 13.4540533",5995,2332
"52.5274314191851, 13.3962359532041","52.4840199, 13.4053429",9306,2577
"52.5274314191851, 13.3962359532041","52.5049039, 13.4431471",5560,1744
"52.5274314191851, 13.3962359532041","52.524042, 13.402083",647,522
"52.5274314191851, 13.3962359532041","52.5071871, 13.390676",3184,1116
"52.5274314191851, 13.3962359532041","52.4583565, 13.2889441",13712,2771
"52.5274314191851, 13.3962359532041","52.5112074, 13.4169157",2854,939
"52.5274314191851, 13.3962359532041","52.440493, 13.3911183",10871,2154
"52.5036522698482, 13.3701284953873","52.5075075, 13.3903737",2605,917
"52.5036522698482, 13.3701284953873","52.5542753, 13.3785425",8359,2600
"52.5036522698482, 13.3701284953873","52.5063, 13.3840159",2090,944
"52.5036522698482, 13.3701284953873","52.5206458, 13.2932877",7805,2276
"52.5036522698482, 13.3701284953873","52.5239216, 13.3888786",3470,1577
"52.5036522698482, 13.3701284953873","52.5168416, 13.3816742",2450,1255
"52.5036522698482, 13.3701284953873","52.5040556, 13.3379413",3134,1167
"52.5036522698482, 13.3701284953873","52.5090125, 13.3792937",1387,701
"52.5036522698482, 13.3701284953873","52.4983661, 13.3605076",1298,644
"52.5036522698482, 13.3701284953873","52.5478117, 13.3892456",7393,1915
"52.5036522698482, 13.3701284953873","52.5046782, 13.4490212",6349,1591
"52.5036522698482, 13.3701284953873","52.5136642, 13.4727613",9253,2361
"52.5036522698482, 13.3701284953873","52.5016098, 13.381181",1661,844
"52.5036522698482, 13.3701284953873","52.5214137, 13.4034811",4641,2062
"52.5036522698482, 13.3701284953873","52.5176913, 13.4419715",7175,2151
"52.5036522698482, 13.3701284953873","52.517699, 13.3970326",3524,1758
"52.5036522698482, 13.3701284953873","52.5303108, 13.3186121",8095,2424
"52.5036522698482, 13.3701284953873","52.5146378, 13.3905283",3370,1392
"52.5036522698482, 13.3701284953873","52.5145186, 13.487322",10429,2792
"52.5036522698482, 13.3701284953873","52.5170316, 13.4012274",4041,1765
"52.5036522698482, 13.3701284953873","52.5207714, 13.3889021",3215,1389
"52.5036522698482, 13.3701284953873","52.5027268, 13.4453492",6737,1905
"52.5036522698482, 13.3701284953873","52.5284267, 13.3720175",4438,1506
"52.5036522698482, 13.3701284953873","52.5209131, 13.3871461",3083,1293
"52.5036522698482, 13.3701284953873","52.5304903, 13.3791152",4990,1916
"52.5036522698482, 13.3701284953873","52.4864896, 13.4217418",5092,1797
"52.5036522698482, 13.3701284953873","52.5215057, 13.4069139",4973,1706
"52.5036522698482, 13.3701284953873","52.5174377, 13.3898033",3170,1624
"52.5036522698482, 13.3701284953873","52.5111669, 13.4430356",8517,3083
"52.5036522698482, 13.3701284953873","52.5076615, 13.454537",6900,1986
"52.5036522698482, 13.3701284953873","52.5121441, 13.3083771",6023,1466
"52.5036522698482, 13.3701284953873","52.5087884, 13.378434",1335,659
"52.5036522698482, 13.3701284953873","52.5019061, 13.3308361",3847,1462
"52.5036522698482, 13.3701284953873","52.5088651, 13.2707514",8731,1956
"52.5036522698482, 13.3701284953873","52.5264743, 13.39691",4317,1821
"52.5036522698482, 13.3701284953873","52.5106807, 13.419484",5140,1894
"52.5036522698482, 13.3701284953873","52.4602228, 13.5056519",12471,3135
"52.5036522698482, 13.3701284953873","52.474199, 13.141735",27339,5112
"52.5036522698482, 13.3701284953873","52.5021802, 13.364582",540,458
"52.5036522698482, 13.3701284953873","52.5205791, 13.4089041",5269,1747
"52.5036522698482, 13.3701284953873","52.4986678, 13.3566505",1531,816
"52.5036522698482, 13.3701284953873","52.520848, 13.4084747",5272,1749
"52.5036522698482, 13.3701284953873","52.49694, 13.4540533",6628,2231
"52.5036522698482, 13.3701284953873","52.4840199, 13.4053429",4509,2148
"52.5036522698482, 13.3701284953873","52.5049039, 13.4431471",6828,1959
"52.5036522698482, 13.3701284953873","52.524042, 13.402083",4442,1710
"52.5036522698482, 13.3701284953873","52.5071871, 13.390676",2568,889
"52.5036522698482, 13.3701284953873","52.4583565, 13.2889441",10924,2967
"52.5036522698482, 13.3701284953873","52.5112074, 13.4169157",4929,1718
"52.5036522698482, 13.3701284953873","52.440493, 13.3911183",10418,2716
"52.4998043971512, 13.3475804070362","52.5075075, 13.3903737",4139,1099
"52.4998043971512, 13.3475804070362","52.5542753, 13.3785425",8864,2241
"52.4998043971512, 13.3475804070362","52.5063, 13.3840159",3624,1126
"52.4998043971512, 13.3475804070362","52.5206458, 13.2932877",6244,2245
"52.4998043971512, 13.3475804070362","52.5239216, 13.3888786",6440,1823
"52.4998043971512, 13.3475804070362","52.5168416, 13.3816742",4912,1415
"52.4998043971512, 13.3475804070362","52.5040556, 13.3379413",1294,629
"52.4998043971512, 13.3475804070362","52.5090125, 13.3792937",4194,1168
"52.4998043971512, 13.3475804070362","52.4983661, 13.3605076",1623,633
"52.4998043971512, 13.3475804070362","52.5478117, 13.3892456",10301,2454
"52.4998043971512, 13.3475804070362","52.5046782, 13.4490212",8495,2139
"52.4998043971512, 13.3475804070362","52.5136642, 13.4727613",12389,2801
"52.4998043971512, 13.3475804070362","52.5016098, 13.381181",3195,1026
"52.4998043971512, 13.3475804070362","52.5214137, 13.4034811",6655,1891
"52.4998043971512, 13.3475804070362","52.5176913, 13.4419715",10311,2591
"52.4998043971512, 13.3475804070362","52.517699, 13.3970326",5722,1693
"52.4998043971512, 13.3475804070362","52.5303108, 13.3186121",5488,1726
"52.4998043971512, 13.3475804070362","52.5146378, 13.3905283",5558,1639
"52.4998043971512, 13.3475804070362","52.5145186, 13.487322",13565,3232
"52.4998043971512, 13.3475804070362","52.5170316, 13.4012274",6239,1700
"52.4998043971512, 13.3475804070362","52.5207714, 13.3889021",5757,1733
"52.4998043971512, 13.3475804070362","52.5027268, 13.4453492",8883,2453
"52.4998043971512, 13.3475804070362","52.5284267, 13.3720175",4544,1690
"52.4998043971512, 13.3475804070362","52.5209131, 13.3871461",5742,1726
"52.4998043971512, 13.3475804070362","52.5304903, 13.3791152",7353,2103
"52.4998043971512, 13.3475804070362","52.4864896, 13.4217418",7932,1842
"52.4998043971512, 13.3475804070362","52.5215057, 13.4069139",6566,1821
"52.4998043971512, 13.3475804070362","52.5174377, 13.3898033",5369,1499
"52.4998043971512, 13.3475804070362","52.5111669, 13.4430356",10737,3198
"52.4998043971512, 13.3475804070362","52.5076615, 13.454537",9046,2534
"52.4998043971512, 13.3475804070362","52.5121441, 13.3083771",3391,1041
"52.4998043971512, 13.3475804070362","52.5087884, 13.378434",4150,1126
"52.4998043971512, 13.3475804070362","52.5019061, 13.3308361",2006,924
"52.4998043971512, 13.3475804070362","52.5088651, 13.2707514",6099,1531
"52.4998043971512, 13.3475804070362","52.5264743, 13.39691",7754,2177
"52.4998043971512, 13.3475804070362","52.5106807, 13.419484",7267,2052
"52.4998043971512, 13.3475804070362","52.4602228, 13.5056519",16106,3683
"52.4998043971512, 13.3475804070362","52.474199, 13.141735",21130,4742
"52.4998043971512, 13.3475804070362","52.5021802, 13.364582",2010,954
"52.4998043971512, 13.3475804070362","52.5205791, 13.4089041",6862,1862
"52.4998043971512, 13.3475804070362","52.4986678, 13.3566505",1042,617
"52.4998043971512, 13.3475804070362","52.520848, 13.4084747",6865,1864
"52.4998043971512, 13.3475804070362","52.49694, 13.4540533",11289,3383
"52.4998043971512, 13.3475804070362","52.4840199, 13.4053429",6444,2118
"52.4998043971512, 13.3475804070362","52.5049039, 13.4431471",11181,2874
"52.4998043971512, 13.3475804070362","52.524042, 13.402083",6995,2173
"52.4998043971512, 13.3475804070362","52.5071871, 13.390676",4102,1071
"52.4998043971512, 13.3475804070362","52.4583565, 13.2889441",9083,2309
"52.4998043971512, 13.3475804070362","52.5112074, 13.4169157",7056,1876
"52.4998043971512, 13.3475804070362","52.440493, 13.3911183",10775,2565
"52.4981255068954, 13.3604000167833","52.5075075, 13.3903737",3779,1140
"52.4981255068954, 13.3604000167833","52.5542753, 13.3785425",9977,2137
"52.4981255068954, 13.3604000167833","52.5063, 13.3840159",3165,1286
"52.4981255068954, 13.3604000167833","52.5206458, 13.2932877",6286,1687
"52.4981255068954, 13.3604000167833","52.5239216, 13.3888786",5411,1719
"52.4981255068954, 13.3604000167833","52.5168416, 13.3816742",3660,1274
"52.4981255068954, 13.3604000167833","52.5040556, 13.3379413",2070,615
"52.4981255068954, 13.3604000167833","52.5090125, 13.3792937",2382,653
"52.4981255068954, 13.3604000167833","52.4983661, 13.3605076",149,139
"52.4981255068954, 13.3604000167833","52.5478117, 13.3892456",9686,1987
"52.4981255068954, 13.3604000167833","52.5046782, 13.4490212",6683,1624
"52.4981255068954, 13.3604000167833","52.5136642, 13.4727613",10577,2286
"52.4981255068954, 13.3604000167833","52.5016098, 13.381181",2158,887
"52.4981255068954, 13.3604000167833","52.5214137, 13.4034811",9219,1839
"52.4981255068954, 13.3604000167833","52.5176913, 13.4419715",8499,2076
"52.4981255068954, 13.3604000167833","52.517699, 13.3970326",4425,1448
"52.4981255068954, 13.3604000167833","52.5303108, 13.3186121",6393,1765
"52.4981255068954, 13.3604000167833","52.5146378, 13.3905283",3687,1035
"52.4981255068954, 13.3604000167833","52.5145186, 13.487322",11753,2717
"52.4981255068954, 13.3604000167833","52.5170316, 13.4012274",4430,1429
"52.4981255068954, 13.3604000167833","52.5207714, 13.3889021",5508,1455
"52.4981255068954, 13.3604000167833","52.5027268, 13.4453492",7071,1938
"52.4981255068954, 13.3604000167833","52.5284267, 13.3720175",5197,1638
"52.4981255068954, 13.3604000167833","52.5209131, 13.3871461",5376,1359
"52.4981255068954, 13.3604000167833","52.5304903, 13.3791152",6324,1999
"52.4981255068954, 13.3604000167833","52.4864896, 13.4217418",6678,1510
"52.4981255068954, 13.3604000167833","52.5215057, 13.4069139",6498,1627
"52.4981255068954, 13.3604000167833","52.5174377, 13.3898033",3947,1295
"52.4981255068954, 13.3604000167833","52.5111669, 13.4430356",9340,2772
"52.4981255068954, 13.3604000167833","52.5076615, 13.454537",7234,2019
"52.4981255068954, 13.3604000167833","52.5121441, 13.3083771",4505,937
"52.4981255068954, 13.3604000167833","52.5087884, 13.378434",2338,611
"52.4981255068954, 13.3604000167833","52.5019061, 13.3308361",2783,910
"52.4981255068954, 13.3604000167833","52.5088651, 13.2707514",7213,1427
"52.4981255068954, 13.3604000167833","52.5264743, 13.39691",6610,1887
"52.4981255068954, 13.3604000167833","52.5106807, 13.419484",5456,1537
"52.4981255068954, 13.3604000167833","52.4602228, 13.5056519",14295,3168
"52.4981255068954, 13.3604000167833","52.474199, 13.141735",22244,4638
"52.4981255068954, 13.3604000167833","52.5021802, 13.364582",648,549
"52.4981255068954, 13.3604000167833","52.5205791, 13.4089041",6356,1498
"52.4981255068954, 13.3604000167833","52.4986678, 13.3566505",260,212
"52.4981255068954, 13.3604000167833","52.520848, 13.4084747",6359,1500
"52.4981255068954, 13.3604000167833","52.49694, 13.4540533",8451,2264
"52.4981255068954, 13.3604000167833","52.4840199, 13.4053429",5189,1786
"52.4981255068954, 13.3604000167833","52.5049039, 13.4431471",7162,1992
"52.4981255068954, 13.3604000167833","52.524042, 13.402083",9224,1836
"52.4981255068954, 13.3604000167833","52.5071871, 13.390676",3811,1165
"52.4981255068954, 13.3604000167833","52.4583565, 13.2889441",9860,2295
"52.4981255068954, 13.3604000167833","52.5112074, 13.4169157",5245,1361
"52.4981255068954, 13.3604000167833","52.440493, 13.3911183",9060,2125
"52.5108584623839, 13.3670368026328","52.5075075, 13.3903737",2760,1204
"52.5108584623839, 13.3670368026328","52.5542753, 13.3785425",8104,2350
"52.5108584623839, 13.3670368026328","52.5063, 13.3840159",2311,1307
"52.5108584623839, 13.3670368026328","52.5206458, 13.2932877",6581,2453
"52.5108584623839, 13.3670368026328","52.5239216, 13.3888786",2863,1296
"52.5108584623839, 13.3670368026328","52.5168416, 13.3816742",1939,948
"52.5108584623839, 13.3670368026328","52.5040556, 13.3379413",2609,988
"52.5108584623839, 13.3670368026328","52.5090125, 13.3792937",1782,766
"52.5108584623839, 13.3670368026328","52.4983661, 13.3605076",2519,1127
"52.5108584623839, 13.3670368026328","52.5478117, 13.3892456",7108,1539
"52.5108584623839, 13.3670368026328","52.5046782, 13.4490212",7811,1958
"52.5108584623839, 13.3670368026328","52.5136642, 13.4727613",8205,2141
"52.5108584623839, 13.3670368026328","52.5016098, 13.381181",1848,948
"52.5108584623839, 13.3670368026328","52.5214137, 13.4034811",5416,1747
"52.5108584623839, 13.3670368026328","52.5176913, 13.4419715",6127,1931
"52.5108584623839, 13.3670368026328","52.517699, 13.3970326",3998,1547
"52.5108584623839, 13.3670368026328","52.5303108, 13.3186121",11168,2352
"52.5108584623839, 13.3670368026328","52.5146378, 13.3905283",3353,1299
"52.5108584623839, 13.3670368026328","52.5145186, 13.487322",9381,2572
"52.5108584623839, 13.3670368026328","52.5170316, 13.4012274",3966,1267
"52.5108584623839, 13.3670368026328","52.5207714, 13.3889021",2608,1108
"52.5108584623839, 13.3670368026328","52.5027268, 13.4453492",8820,2577
"52.5108584623839, 13.3670368026328","52.5284267, 13.3720175",3275,1320
"52.5108584623839, 13.3670368026328","52.5209131, 13.3871461",2476,1012
"52.5108584623839, 13.3670368026328","52.5304903, 13.3791152",3832,1638
"52.5108584623839, 13.3670368026328","52.4864896, 13.4217418",5664,1883
"52.5108584623839, 13.3670368026328","52.5215057, 13.4069139",5327,1677
"52.5108584623839, 13.3670368026328","52.5174377, 13.3898033",3033,1436
"52.5108584623839, 13.3670368026328","52.5111669, 13.4430356",8380,2895
"52.5108584623839, 13.3670368026328","52.5076615, 13.454537",8156,2228
"52.5108584623839, 13.3670368026328","52.5121441, 13.3083771",4842,1643
